m/z,z,I,Res.
56.68664,,1441451,1024515
56.69226,,1268387,1224231
56.69623,,1185329,1392937
56.69905,,1354233,890585
56.70486,,1405899,862375
56.70546,,1130557,933802
56.7066,,1249188,1155161
56.70937,,1344343,1443184
56.70974,,1245163,940079
56.71131,,1172833,1180063
56.71331,,1411385,860376
56.71447,,1205301,1377188
56.71641,,1447108,962400
56.71791,,1137854,1345728
56.72011,,1159942,1329411
56.72167,,1232545,583048
56.72305,,1204861,1176011
56.72634,,1317191,987432
56.73185,,1143933,1248609
56.73224,,1696310,812685
56.73515,,1152108,1499905
56.73563,,1188350,985398
56.73713,,1191034,1492844
56.73788,,1196534,1016663
56.73845,,1294626,1269435
56.73934,,1450033,1155079
56.74031,,1148341,999401
56.74102,,1202713,1041507
56.74181,,1164914,1487951
56.74206,,1467149,1062171
56.74514,,1208399,996873
56.7452,,1235995,751463
56.74529,,1154785,1176834
56.74541,,2244290,910351
56.74546,,1490488,1134458
56.74561,,2232326,1169850
56.74619,,1223395,1213468
56.74632,,1172146,808818
56.74654,,1144554,1351562
56.74771,,1180377,935971
56.75009,,1368006,1236466
56.75023,,1255142,841027
56.75164,,1144911,1091866
56.75181,,1279428,1328194
56.75666,,1276475,1001459
56.75872,,1205197,1448879
56.75944,,1140116,1305978
56.76152,,1171792,1092503
56.76315,,1336844,1107241
56.76528,,1205187,1335958
56.76549,,1150183,924765
56.76713,,1157153,1498879
56.76742,,1136532,1467830
56.76829,,1282230,1050592
56.77207,,1143195,755243
56.77385,,1537336,1050328
56.77463,,1159695,1108532
56.77495,,1423236,1061377
56.77618,,1373678,1212130
56.77791,,2804377,1117038
56.7781,,3826903,858681
56.77826,,2069617,827754
56.77836,,1714140,862903
56.77847,,2504969,1040621
56.78279,,1330673,1088839
56.7831,,1321317,902343
56.78618,,1506806,1248692
56.78888,,1216078,1193788
56.79042,,1212409,923284
56.79176,,1150842,758976
56.79272,,1186105,1184034
56.79338,,1439003,955214
