m/z,z,I,Res.
54.1277,,430177,1134496
54.12777,,464964,803085
54.12793,,574729,1116437
54.12831,,984711,455795
54.12845,,495082,1321902
54.12918,,667544,678359
54.12932,,611328,1051960
54.12945,,439197,1947752
54.12957,,513859,1248620
54.13147,,677347,424320
54.13222,,565033,911024
54.13293,,687071,871774
54.13326,,447987,1446778
54.13341,,519553,883170
54.13402,,656275,712232
54.1343,,493897,1119057
54.1353,,556002,612536
54.13548,,450165,1746381
54.13619,,557224,719816
54.13654,,415488,1525312
54.13691,,506635,732335
54.13704,,655088,497431
54.13744,,417527,2143841
54.13761,,470113,1307423
54.13784,,832353,776923
54.13847,,446600,1302122
54.13867,,457160,1483635
54.1388,,537484,873428
54.13898,,457883,1205835
54.1394,,531516,669437
54.13961,,629278,415288
54.13981,,493833,1022898
54.13997,,460356,1105002
54.1405,,430533,1518209
54.14077,,652622,859933
54.14096,,548304,996788
54.14158,,664274,682668
54.14205,,818922,389733
54.1425,,578042,1169139
54.14275,,422865,2210579
54.14307,,480024,1286235
54.14365,,474839,1372512
54.1444,,419076,1917103
54.14455,,572159,803670
54.14464,,454012,1155140
54.14539,,804178,583914
54.14661,,725995,639821
54.14679,,485588,926453
54.14707,,510231,987568
54.14719,,420775,1843855
54.14732,,659973,799107
54.14768,,507405,1212585
54.14797,,490339,1199105
54.14812,,523344,1021304
54.1483,,649424,885092
54.14843,,533588,1175637
54.1487,,483494,1078224
54.14922,,592140,788708
54.14955,,464079,1191522
54.14983,,493971,1119220
54.15003,,487865,686241
54.15039,,592384,764535
54.15145,,424990,2405474
54.15204,,618757,1009793
54.15264,,726257,684514
54.15305,,444483,1469296
54.15342,,460682,1209890
54.1538,,547607,1124328
54.15394,,482936,862018
54.1543,,484466,1162209
54.15563,,559475,795398
54.15604,,544222,964436
54.15745,,546362,864274
54.15786,,605423,780759
54.15804,,684499,551290
54.15821,,486798,1389304
54.15865,,571742,879707
54.15888,,572456,952608
54.15977,,493714,1265830
54.15997,,533883,1115628
54.16009,,595074,1108597
54.1606,,982922,533160
54.16126,,431035,715407
54.1614,,644913,548447
54.16158,,463107,875324
54.16193,,620921,461388
54.16217,,449679,1436964
54.16229,,498218,910779
54.16292,,435462,1780957
54.16353,,555592,1048943
54.16399,,532216,908263
54.16496,,548919,880528
54.16516,,564752,734899
54.16586,,734939,794535
54.16652,,813042,483315
54.1674,,485057,1015351
54.1677,,564364,773135
54.16786,,499181,1008781
54.168,,459536,1186452
54.16807,,512532,757081
54.16844,,465456,1542634
54.16863,,542072,833010
54.1691,,692870,763853
54.16935,,425849,1672687
54.16958,,566047,970513
54.16993,,594315,694377
54.17018,,487519,1719346
54.17032,,430105,961899
54.17064,,481205,1289659
54.17082,,436966,1574791
54.17146,,830661,490959
54.17265,,474251,1556157
54.17316,,447715,1619649
54.17366,,505860,918656
54.17403,,595351,933860
54.1745,,460018,1520339
54.17477,,453473,1383230
54.17577,,537674,826597
54.17643,,471320,1445635
54.17661,,506227,792649
54.17694,,545032,1001680
54.17773,,462124,1233119
54.17808,,581275,832869
54.17845,,563126,900015
54.17861,,474733,1405281
54.17871,,572239,1129808
54.17885,,515179,1032190
54.1791,,620676,682109
54.17931,,606152,705576
54.17939,,627424,473944
54.17997,,729897,744357
54.18036,,561327,981064
54.18052,,443058,1204519
54.18108,,450162,1270405
54.18122,,492446,1026683
54.18141,,447670,1674556
54.18191,,537271,770001
54.18218,,463628,1125541
54.18259,,803855,746329
54.18328,,509803,1314788
54.18341,,682554,859880
54.18378,,503320,1176399
54.1841,,730833,650476
54.18467,,625718,687550
54.18534,,458116,1164136
54.18548,,645082,783622
54.18586,,484860,720808
54.18647,,613978,664056
54.18665,,526234,693486
54.18701,,505517,932231
54.1874,,829980,557669
54.18795,,438366,1371135
54.1884,,578408,1070229
54.1896,,568190,622911
54.19025,,545562,730315
54.19034,,575674,543220
54.19062,,681269,299866
54.19089,,671230,764830
54.19123,,595761,1040412
54.19137,,544977,789306
54.19164,,495029,1116243
54.19258,,443631,1509502
54.19296,,589649,871466
54.19398,,598514,557886
54.19488,,720516,557472
54.19523,,687400,472610
